Category,Name,Brand,Price,Key_Features
Computing,"Lenovo 83Dv008Qed-Loq 15Irx9 Intel® Core™ I7-13650Hx , Ram 16Gb , 512Gb Ssd , Nvidia®Rtx3050 , 15.6"" Fhd - Luna Grey",Lenovo,53039,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) | 1x USB-C (USB 10Gbps / USB 3.2 Gen 2), with Lenovo PD 140W and DisplayPort 1.4 | 1x HDMI 2.1, up to 8K/60Hz | 1x Headphone / microphone combo jack (3.5mm) | 1x Ethernet (RJ-45) | 1x Power connector"
Computing,Standard GM-09 Gaming Headphone - Black,Standard,1125,Not Available
Computing,"Lenovo Ideapad Slim 5 16IMH9 83DC003UED Intel® Core™ Ultra 7 155H , 16GB RAM , 512GB SSD , Intel® Arc Graphics , 16"" WUXGA , Win11 - Cloud Grey",Lenovo,48469,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1) | 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On | 2x USB-C (USB 5Gbps / USB 3.2 Gen 1), with USB PD 3.0 and DisplayPort 1.4 | 1x HDMI 1.4b | 1x Headphone / microphone combo jack (3.5mm) | 1x microSD card reader | IR camera for Windows Hello (facial recognition) | Camera privacy shutter"
Computing,iLOCK Power Strip 5 Universal Outlets Without Earthing – (Basic),iLOCK,359,Number of Outlets: 5 Universal Outlets | Power Rating: 2860 Watts | Cable Length: 2 Meters | Material: Copper connectors with steel supports | Color: White | Warranty: 10 years
Computing,MSI LAPTOP Cyborg 15 A2RUDX CPU Core 7 240H RAM16G DDR5 8GB*2 SSD 512GB NVMe VGA RTX 3050 6GB 15.6 FHD 144Hz Win11Home A.,MSI,48750,Brands MSI | Model Cyborg 15 A2RUDX | Part Numbe 9S7-15K111-2081 | Processor CPU Core 7 240H | Memory Size 16GB | Graphics Card RTX 3050 6GB GDDR6 | Display 15.6 | Refresh Rate 144 Hz | Resolution 1920 1080 | Operation System Windows 11 Home
Computing,Metal Portable Tablet & Laptop Stand Foldable - Multi Angles Height Adjustment,Metal,139,Not Available
Computing,Rechargeable Wireless Mouse - Bluetooth & 2.4 GHz For PC And Mobile,Rechargeable,149,Ergonomic design ensuring comfort during long usage. | Compatible with multiple operating systems including | Simple plug-and-play installation. | Package Contents: 1 x Wireless Mouse
Computing,HP W10 Wireless Optical Mouse – Black,HP,139,Not Available
Computing,& Tablet Stand Foldable Aluminum Alloy Multi Angles Height Adjustment,Tablet,148.9,"Made of metal materials for added durability and strength | Allows you to place the laptop and move it to multi levels of height | Allows cooling by creating a space between the table and the device | Compatible with phone, laptop and tablet | Compatible with multi sizes of inches | There are no scratches on the device due to the presence of rubber mounts | Slip-resistant with rubber feet | It is foldable for easy carrying"
Computing,"foldable laptop table, breakfast serving bed tray, lap desk with foldable leg & tablet phone groove & cup slot for reading writing eating on bed couch sofa floor (walnut brown)",foldable,249.99,Not Available
Computing,USB Wired Optical Mouse ergonomic computer mouse plug and play office laptop pc mouse,USB,79,Not Available
Computing,Sharp toner photocoper sharp,Sharp,3000,Not Available
Computing,ZTE ZTE Router 4G MiFi - MF937,ZTE,1300,"(4G/LTE) High Speed Mobile Wi-Fi | High Speed Download Up to 150Mbps/Upload up to 50Mbps | Wi-Fi: Wi-Fi Bands:802.11 b/g/n @2.4GHZ (2x2) Wi-Fi Data rate: up to 300Mbps Support Up to 16 Wi-Fi Connected Devices | Rechargeable, Removable Battery 2000 mAh Maximum Working Time: up to 5 hours Maximum Standby Time: up to 200 hours"
Computing,Power Strip - 9 Ports (5 Double + 4 Triple) + 2 USB Ports -325A,Power,199,| 9 Output Ports | 220v - 250 V | 10 A | Power 2500 Watt max | Compatible for all electrical devices | 2 ports for USB Output | 325A
Computing,Adjustable and Foldable Aluminum Laptop Stand + Free Holder As A Gift - Silver,Adjustable,179,Not Available
Computing,"Travel Laptop Bag, Business Backpack School Bag for Youth and Girls, Large Size Lightweight",Travel,221,Not Available
Computing,Sharp baled drum,Sharp,4000,Not Available
Computing,iLOCK Mini Power Strip – 3 Outlets (3 M),iLOCK,189,SKU: IL542EA2KW51NNAFAMZ | Production Country: United Kingdom | Size (L x W x H cm): 19.3 x 10.7 x 7.2 | Color: Yellow | Main Material: Flame-retardant PVC and Copper Connections
Computing,Replacement HP 106A Toner Cartridge,HP,335,"Color: Black | Compatible :106A | Package Contents: 1X 106A | Page Yield: 1000 pages, at 5% coverage/A4 | Use For: HP LaserJet HP Laser 107a/107r/107w,Laser MFP 135a/w,Laser MFP 137fnw Printer"
Computing,USB WiFi Antenna with Wireless Adapter for Laptop & Receivers - Black,USB,179.1,"High-Speed Connectivity: Supports fast wireless speeds for seamless browsing, streaming, and gaming. | Extended Range: Powerful antenna ensures stable connectivity, even at a distance from the router. | Plug & Play: Easy installation with USB connectivity, compatible with most operating systems. | Compact & Portable: Lightweight design makes it convenient for travel or daily use. | Wide Compatibility: Works with Windows, Mac, and Linux systems, making it a versatile choice."
Computing,"Canon PRINTER PIXMA All-In-One Printer, Black - MG2541S",Canon,1870,Not Available
Computing,"USB Dongle Compatible with Bluetooth V5.0 for PC Laptop for Windows 11, 10, 8.1, 8.0, 7, Mouse, Keyboard, Printers, Headphones, Speakers, Controller & More",USB,150,Not Available
Computing,"WiFi flash drive, antenna, receiver, WiFi adapter, Wireless USB Adapter, internet connection flash drive for receivers, laptops, Computers etc., speed 150 Mbps",WiFi,169,"Ultra-fast data transfer speeds of up to 150 Mbps | Powerful directional antennas broadcast a stable and consistent Wi-Fi signal | Better sensitivity and longer range | 2.4 GHz frequency | Supports WEP, WPA, WPA2, WMM, and WMM-PS"
Computing,4-Outlet Wall-Mounted Electrical Socket with Brass Internal Mounting Components Made of High-Quality Materials,Wall-Mounted,116.1,Model: 4-Outlet Wall-Mounted Electrical Socket | Internal Components: Brass for enhanced conductivity | Color: White
Computing,"Adjustable Laptop Stand, Portable Aluminum Laptop Riser Laptop Holder for Desk, Foldable Ventilated Cooling Notebook Stand for MacBook Pro/Air, HP, Lenovo, Sony, Dell, More 10-15.6” Laptops, Tablets",Lenovo,140,Not Available
Computing,Canon PIXMA MG2541S Color 3-in-1 Inkjet Printer - MEA Grey,Canon,1929,"Model Numbers: PIXMA MG2541S | Functions: Print, Copy, Scan | Print Resolution: Up to 4800 x 600 dpi | Print Technology: 2 FINE Cartridges (Black and Colour) | Mono Print Speed: Approx. 8.0 ipm | Colour Print Speed: Approx. 4.0 ipm | Two-Sided Printing: Manual operation | Standard Ink Cartridges: PG-445 (Black) CL-446 (Colour) | PG-445 (Black) | CL-446 (Colour) | Optional XL Ink Cartridges: PG-445XL (Black) CL-446XL (Colour) | PG-445XL (Black) | CL-446XL (Colour) | Cartridge Yield (Plain Paper): Black: 180 pages Black XL: 400 pages Colour: 180 pages Colour XL: 300 pages | Black: 180 pages | Black XL: 400 pages | Colour: 180 pages | Colour XL: 300 pages | Paper Types: Plain Paper Envelopes Photo Paper Plus Glossy II (PP-201) Photo Paper Glossy ""Everyday Use"" (GP-501) | Plain Paper | Envelopes | Photo Paper Plus Glossy II (PP-201) | Photo Paper Glossy ""Everyday Use"" (GP-501) | Maximum Paper Input: Rear Tray: Max. 60 sheets (plain paper) | Rear Tray: Max. 60 sheets (plain paper) | Paper Sizes: Plain Paper: A4, A5, B5, Letter, Legal Photo Paper: 10x15 cm, 13x18 cm Envelopes: DL, COM10 | Plain Paper: A4, A5, B5, Letter, Legal | Photo Paper: 10x15 cm, 13x18 cm | Envelopes: DL, COM10 | Paper Weight: Plain Paper: 64 - 105 g/m Canon Photo Paper: Up to 275 g/m | Plain Paper: 64 - 105 g/m | Canon Photo Paper: Up to 275 g/m | Scanner Type: CIS flatbed photo and document scanner | Scanner Resolution (Optical): 600 x 1200 dpi | Line Scanning Speed: Approx. 14 seconds | Scanning Depth (Input / Output): Colour: 48 bit / 24 bit Greyscale: 16 bit / 8 bit | Colour: 48 bit / 24 bit | Greyscale: 16 bit / 8 bit | Maximum Document Size: 216 x 297 mm | Copy Speed: sFCOT: Approx. 31 seconds sESAT: Approx. 1.6 ipm | sFCOT: Approx. 31 seconds | sESAT: Approx. 1.6 ipm | Copy Quality: 21 copies (max.) | Copy Functions: Document copying (plain paper) | Display Type & Size: No display | Supported Operating Systems: Windows 11, 10, 8.1, 8, 7, Vista, XP (32-bit & 64-bit) Mac OS X v10.7.5 to macOS 14 | Windows 11, 10, 8.1, 8, 7, Vista, XP (32-bit & 64-bit) | Mac OS X v10.7.5 to macOS 14 | Minimum System Requirements: Windows: 3.1GB disk space, Internet Explorer 8 Mac: Internet connection, 1.5GB disk space, Safari 5 Display: 1024 x 768 XGA | Windows: 3.1GB disk space, Internet Explorer 8 | Mac: Internet connection, 1.5GB disk space, Safari 5 | Display: 1024 x 768 XGA | Weight: Approx. 3.5 kg | Dimensions (W x D x H): 426 x 306 x 145 mm | Recommended Operating Environment: 5-35C | Power Source: AC 100-240V, 50/60Hz | Power Consumption: Off: Approx. 0.4 W Standby (USB connected): Approx. 1.0 W (scanning lamp off) Standby (all ports connected): Approx. 1.0 W (scanning lamp off) Time to enter Standby mode: 7 minutes Copying: Approx. 9 W | Off: Approx. 0.4 W | Standby (USB connected): Approx. 1.0 W (scanning lamp off) | Standby (all ports connected): Approx. 1.0 W (scanning lamp off) | Time to enter Standby mode: 7 minutes | Copying: Approx. 9 W"
Computing,Folding Laptop Table,Folding,188,Not Available
Computing,Marvo M112 Programmable RGB LED Gaming Mouse - 4000DPI - Black,Marvo,299,Programmable Software Driver | High-profile design with full palm support | Enhanced control for palm and claw grip styles | Rubber scroll wheel for enhanced feel 7-color RGB backlight with breathing effect | DPI: 800-1600-2400-4000 | Buttons: 7 (programmable) | Switch rating: 3 million clicks | Backlight: 7 colors (RGB) Wired connection
Computing,"Adjustable Aluminum Laptop Stand for 10-17"" Devices – 7-Height Ergonomic, Foldable & Cooling Support",Adjustable,139,"7 adjustable height levels for perfect eye-level alignment and ergonomic posture | Fits all laptops from 10 to 17 inches also supports tablets, books, and phones | Lightweight (240300g) and foldable with storage bag for travel and office use | Sturdy aluminum alloy frame holds up to 5 kg with anti-slip silicone pads | Ventilated open design enhances airflow to prevent laptop overheating | Non-slip base and front hooks keep your device secure during typing | Compatible with MacBook, HP, Dell, Sony, and all major laptop brands | Saves desk space and ideal for standing desks, home office, or cafes"
Computing,Sharp TONER,Sharp,2500,Not Available
Computing,Adapter And Splitter From (Type C) To (4 USB Ports) That Works With Phones And MacBooks,Adapter,189.88,"4-in-1 USB-C Hub USB C Adapter gets more from your computer's USB C port, | 4 in 1 Type C data hub expands one USB Type C output port, 4 USB ports. | And all hub ports can work at the same time. | One USB hub provides multi-functional ports that keep you working and entertained well. | High-Speed Data Transfer The USB C hub has one USB 3.0 port, which can connect hard disks, printers, mouse and other USB devices. | USB 3.0 port supports data transfer rates. | It will reduce the impact on wireless networks and Bluetooth signals. | Allows you to connect a USB keyboard/mouse, USB flash drive, both of which can extend USB hard drives and external HDD to laptops. | Plug and Play No software installation required on Windows, Mac, iPad or Linux. | This 4-port USB-C hub allows you to connect USB mice, keyboards, thumb drives, flash drives, USB cameras and other USB devices. | The portable USB Type C hub is small in size and does not take up space. | Easy to carry anywhere Aluminum alloy body is anti-fingerprint, wear-resistant and helps heat dissipation. | Featuring a stylish gray area, the Type C Hub Adapter is perfect for your laptop. | If you are looking for other shapes and designs, you can visit our store on Jumia. Just click on the sellers name (EL-TERND) and you will find it at the best price."
Computing,"4 Port USB 3.0 Hub Adapter - Ultra Slim Data USB Hub with 1.2M Extended Cable and LED Indicator Compatible for MacBook/Mac mini/iPad/PC/PS4/PS5, Flash Drive, Mobile HDD",Port,100,Not Available
Computing,STAND,STAND,149.25,Multi-Angle Adjustable Design: Provides 6-mod adjustable height for comfort. | Compatibility: Supports devices from 10 - 15.6 inches. | Portability: Foldable and lightweight for easy transport. | Enhanced Cooling: Keeps laptop cooler to improve battery life. | Exquisite Workmanship: Made from anodized aluminum alloy with a non-slip mat.
Computing,RGB XL Gaming Rubber USB Wired Mouse Pad - Black,RGB,290,"Colorful RGB lights, 7 colors: red, green, blue, purple, cyan, yellow, white, color, breathing lights. | About 3mm ultra-thick fine textured fabric with precise positioning and low resistance. | Separable USB cable for easy use, convenient storage/portability, foldable. | PU non-slip rubber bottom surface, not easy to move. | RS-07 mouse activity space, enhance the gaming experience."
Computing,Screen Cleaning Tools - Light Blue,Screen,85,Not Available
Computing,Adjustable Laptop Stand - Portable Aluminum Laptop Holder for Desk,Adjustable,249,SKU: GE810EA1QMYUZNAFAMZ | Color: Silver | Material: Aluminum alloy | Weight: 600g | Height Adjustment: 7 levels | Maximum Load: 11lbs (5kg)
Computing,Standard Web Cam WB-1080,Standard,675,Video Resolution: 1920 1080 pixels | Microphone: Integrated | Noise Reduction: Yes | Light Correction: Yes | USB Port: USB 0.2 | Universal Clip: For laptops and monitors | Automatic Installation: Plug and play setup | Included Accessories: Webcam and camera holder
Computing,"Mouse QS-1700 - RGB Lighting, Adjustable DPI, 7 Programmable Buttons",Mouse,199,RGB backlight for immersive gaming. | Nylon braided cable for enhanced durability. | Ergonomic design for right-hand use.
Computing,"9 PCS WebCam Cover Shutter Magnet Slider for iPhone, PC, Laptops, and Mobile Phones - Generic",PCS,169.15,"Privacy Protection: Safeguards against unauthorized access to your webcam. | Easy Installation: Takes only 5 seconds to install on devices. | Ultra-Thin Design: Measures just 0.7 mm thick for seamless use. | Simple Operation: Opens and closes with one finger movement. | Versatile Use: Compatible with laptops, tablets, smartphones, and other devices. | Removable: Can be easily applied and removed without leaving traces."
Computing,"Laptop desk, laptop bed tray, foldable laptop stand, small dormitory table, breakfast serving bed tray, dorm desk, notebook table with tablet slots and cup holder, perfect for watching movie on bed",Laptop,299.99,Not Available
Computing,Portable Table & Lapdesk,Portable,225,Table with laptop space and cup holder | Suitable for studying and eating | Foldable metal feet for easy storage | Made from high-quality materials
Computing,WD WD HDD BLUE (500 GB),WD,585,Not Available
Computing,Lapdesk,Lapdesk,230,Not Available
Computing,LENOK USB A to Lightning Cable Nylon Braided USB to Lightning Cord for iPhone 14/13/12/11 Pro Max Mini X XS XR 8 Plus 10 SE iPad,LENOK,250,"Fast Charging & Data Transfer:LENOK iPhone charging cable supports 2.4A fast charging and 480Mbps data transfer for quick syncing of photos, videos, and files. Ensures reliable and fast performance for all your charging and data needs. Featuring a high quality aluminum alloy casing and braided nylon exterior, this iPhone cable fast charging combines durability with a sleek and stylish look. | Wide Compatibility: This iphone charger works flawlessly with Lightning-port devices, including iPhone 14/13/12/11/XS/XR/8, iPad Pro, iPad Air, iPad Mini, iPod Touch, and more. | iPhone Carplay Cable for car: Connect your iPhone to your cars CarPlay system for a hands free driving experience. Enjoy easy access to navigation, music, and calls while keeping your focus on the road. Ideal for use in your car, at the office, on the couch, or while traveling. | Extreme Durability:LENOK cable is designed with reinforced joints for long-lasting, tangle-free performance. It boasts an upgraded tough aluminum connector and exclusive laser welding technology, ensuring the metal part is sturdy. The double-braided nylon exterior, withstanding a lifespan of more than 20,000 bends, makes it last longer than others."
Computing,"Laptop & Multipurpose Stickers – 13Pcs Cute Quote Vinyl Decals , Waterproof, Scratch & Heat Resistant , For Laptops, Bottles, Mugs & Mirrors , Perfect Gear Personalization",Laptop,89.1,"Premium Vinyl Sticker Made from high-quality, tear-resistant vinyl for long-lasting durability | Scratch-Resistant Decal Protects laptops, mugs, bottles, and more from daily scratches and wear | Easy Application & Removal Quick to apply and peel off without leaving sticky residue | Multi-Surface Use Perfect laptop sticker, water bottle sticker, phone sticker, or mirror decal | Trendy Hollow Design Stylish and fun way to personalize your gear and accessories | Great for Gifting or Personalizing: Whether youre treating yourself or looking for the perfect gift"
Computing,Toner-Tank Canon Ink 4 Color GL-490 For Printer for Canon g1400-2400-3400,Toner-Tank,569,"It comes with 4 colors Black, Cyan, Magenta and Yellow. | The black refill is 135ml and the other colors are 70ml."
Computing,1 transparent Arabic keyboard sticker Arabic keyboard sticker for desktop computer Arabic letter keys only white background 1 piece,transparent,90,Not Available
Computing,Jedel CP102 silent clicks Mouse Mouse – Optical Sensor 3600 DPI – 7 Buttons Braided cable - Ultra Comfortable (Black),Jedel,325,Not Available
Computing,Replacement Toner Cartridge For Brother TN-1000,Replacement,205,"Model: TN1000 toner | Compatible with printers: Brother HL-1110 HL-1112HL-1210W MFC-1810 MFC-1910W DCP-1510 DCP-1512 DCP-1610W | Package Contents:Includes 1x Black toner | Page Yield: 1,000 pages at 5% coverage"
Computing,Im ok -funny Mouse Pad -Rubber cr-9,#NAME?,150,High quality full color printing that won't fade Item shape: Rectangular Material: Rubber
Computing,Sharp Drum anlog sf 2022,Sharp,9970,Not Available
Computing,"Large, extended gaming mouse pad with a non-slip, stitched edge and a rubberized, map-shaped design for keyboards, laptops, computers, and desktops, suitable for office and home use.","Large,",230,Not Available
Computing,RGB backlit illuminated mouse pad with smooth surface,RGB,330,Not Available
Computing,Replacement Toner Cartridge For Brother TN-1000 With 2 Packs,Replacement,400,"Model: TN1000 toner | Compatible with printers: Brother HL-1110 HL-1112HL-1210W MFC-1810 MFC-1910W DCP-1510 DCP-1512 DCP-1610W | Package Contents:Includes2x Black toner | Page Yield: 1,000 pages at 5% coverage"
Computing,"iLOCK Power Strip with 3 Outlets - 1.5 Meter Extension Cable With Overload Switch, high endurance up to 3500 watts.",iLOCK,199,Versatile: This power strip features 3 outlets and a switch to control the power supply for multiple devices. | Powerful: Rated for 3500W and 16A at 250V | Easy to install with cable ties or screws | Copper connectors and high-quality materials | Compliant with European standards | 16A illuminated control switch | Low brightness as the switch does not disturb your sleep
Computing,Sandisk 64GB Ultra Flair USB 3.0 Flash Drive - Speeds Up To 150MB/s,Sandisk,600,"High-speed USB 3.0 performance of up to 150MB/s(1) | Transfer a full-length movie in less than 30 seconds(2) | Transfer to drive up to 15 times faster than standard USB 2.0 drives(1) | Sleek, durable metal casing | Easy-to-use password protection for your private files(3)"
Computing,TP-Link Re200 - Ac750 Dual Band - Wi-Fi Range Extender,TP-Link,1089,"WIRELESS | Working Modes Range Extender/Access Point | HARDWARE FEATURES | Plug Type EU, UK, US, AU | Standards and Protocols IEEE802.11ac,IEEE 802.11n, IEEE 802.11g, IEEE 802.11b | Interface 1 x 10/100M Ethernet Port (RJ45) | Ports 1 x 10/100Mbps Ethernet Port (RJ45) | Button RE (Range Extender) Button, Reset Button | Input Power 100-240V~50/60Hz | Power Consumption About 6.5W | Dimensions ( W x D x H ) 4.3x 2.6 x 3.0in. (110.0 x 65.8 x 75.2mm) | Antenna 3 x internal | WIRELESS FEATURES | Wireless Standards IEEE 802.11a/n/ac 5GHz, IEEE 802.11b/g/n 2.4GHz | Frequency 2.4GHz & 5GHz | Signal Rate 5GHz:Up to 433Mbps | 2.4GHz:Up to 300Mpbs | Reception Sensitivity 2.4G: | 270M: -70dBm@10% PER | 130M: -70dBm@10% PER | 108M: -73dBm@10% PER | 54M: -75dBm@10% PER | 11M: -86dBm@8% PER | 6M: -92dBm@10% PER | 1M: -94dBm@8% PER | 5G: | 390M: -60dBm@10% PER | 29.3M: -83dBm@10% PER | 180M: -64dBm@10% PER | 13.5M: -87dBm@10% PER | 78M: -68dBm@10% PER | 6.5M: -90dBm@10% PER | 54M: -75dBm@10% PER | 6M-90dBm@10% PER"
Computing,Fabric Rhombus Laptop Sleeve - Stylish and Functional,Fabric,275,Ribbon sleeve with attractive shapes and various designs | Sleeve with diamond shapes | Sleeve in attractive burgundy color | Suitable for all ages
Computing,Canon Maintenance Cartridge MC-G02,Canon,1800,Maintenance cartridge MC-G02
Computing,Dezllia Mouse Pad for Laptop and Computer - MPAD/13,Dezllia,129,Not Available
Computing,4K HDMI USB 3.0 Video Capture Converter - 1080P HD Transmission Device,HDMI,330,Not Available
Computing,iLOCK Travel Plug Adapter Converter,iLOCK,69,"Slim design prevents slipping from the socket. | Compatible with UK, China, and US plugs. | High-quality copper connections. | Flame-resistant plastic housing. | Supports 16A current and 250V voltage. | High retention to prevent sparks and fire. | Child-proof sockets with shutter mechanism."
Computing,"5 in 1 USB C Adapter with Ethernet, USB C3.0 Hub with 100M rj45 Ethernet Port, 100W PD Charging Port, 4K HDMI, 2USB 3.0 Ports, Compatible for MacBook Pro Air and Type C Devices",USB,295,Not Available
Computing,"Point Gaming Keyboard, Multimedia Shortcuts, Waterproof, Wired USB Interface, English & Arabic - PT-70",Point,275,Not Available
Computing,Sandisk USB Dual Drive Luxe 64GB 400MB/s USB-C & USB 3.2,Sandisk,850,Quickly move files to your computer | Free up space to take more photos | Sequential Read Performance Up to 400MB/s | USB 3.2 Gen 1
Computing,Bluetooth Folding Keyboard Portable Wireless Keyboard Rechargeable Foldable Mini Keyboard for Tablet Phone Laptop IOS Android Windows,Bluetooth,499,Not Available
Computing,Waterproof Laptop Backpack for Men and Women with 16 inch Computer Compartment Travel Laptop Backpack Water Resistant Backpacks - Black,Waterproof,310.17,Not Available
Computing,Canon Wireless Pixma TS5340A Printer - Versatile Inkjet Printing,Canon,3329,"Brand: Canon | Functions: print, scan, copy, Wi-Fi and cloud | Connectivity: High-Speed USB (Port B) Wi-Fi: IEEE802.11 b/g/n | Print technology: Dual FINE cartridges (black and color) | Print resolution: Up to 4800 x 1200 dpi | Print speed: borderless 10x15cm: about 43 seconds | Number of paper input: Rear tray: Max. 20 sheets (photo paper) or Max. 100 sheets (plain paper) Front tray: Max. 100 sheets (plain paper) | Key Features: | - FINE cartridges with ChromaLife100 ink | - Canon PRINT app, AirPrint (iOS) and Mopria (Android) | - 2-way paper feed | - Auto 2-sided printing | - 1.44"" OLED display, QR button, Wireless Connect | - LED status bar | - Auto paper width detection | - 4x6"" borderless photos in just 36 seconds | Model Name: PIXMA TS5340A | Model Number: 3773C107AB | Color: Black"
Computing,A microphone for computers and laptops that can be attached to headphones,microphone,112.5,Not Available
Computing,Dezllia Mouse Pad for Laptop and Computer - MPAD/02,Dezllia,129,Not Available
Computing,Large Size Mouse Pad 80 cm × 30 cm for Mouse and Keyboard - Black,Large,290,"- Colorful Safety lights, 7 colors: red, green, blue, purple, cyan, yellow, white, color, breathing lights. | - About 3mm ultra-thick fine textured fabric with precise positioning and low resistance. | - Separable USB cable for easy use, convenient storage/portability, foldable. | - PU non-slip rubber bottom surface, not easy to move. | - XL mouse activity space, enhance the gaming experience."
Computing,"PLOKAMA Wireless Lavalier Microphone Dual 2.4G – Plug & Play Mic for iPhone, Android, Camera, Vlogging, Live Streaming, Interviews – VM20",PLOKAMA,699,"Dual Wireless Lavalier Microphones Easily record two speakers at the same time | Plug & Play Easy connection with iPhone, Android devices, and digital cameras | Stable 2.4G Wireless Frequency Reliable performance for clear and stable audio recording | Noise Reduction Technology Crisp and clear sound with reduced background noise | Rechargeable & Lightweight Compact design, perfect for on-the-go recording | Ideal for Vlogging & Live Streaming Suitable for interviews, YouTube, TikTok, podcasts, and live broadcasts | Clip-On Design Secure and discreet attachment to clothing during recording"
Computing,Sandisk USB Dual Drive Luxe 128GB 400MB/s USB-TYPE-C & USB 3.2 Gen1,Sandisk,1350,Quickly move files to your computer | Free up space to take more photos | Sequential Read Performance Up to 400MB/s | USB 3.2 Gen 1
Computing,Toner-Tank 85A Toner Cartridge Compatible Replacement For HP 85A CE285A P1102w Toner Cartridge For HP Laserjet Pro P1102 P1102w M1212nf P1109w M1217nfw MF3010 1102w,Toner-Tank,259,"Page Yield Per Cartridge: 1,600 pages (5% coverage) | Package Contents: 1X CE285A"
Computing,"Foldable Laptop Table, Portable Laptop Bed Tray Table Folding Dormitory Table Notebook Stand Reading Holder Breakfast Serving Bed Tray with Tablet Slots & Cup Holder for Bed/Couch/Sofa-Golden",Foldable,269.99,Not Available
Computing,Western Digital My Passport 2TB Portable Hard Disk Drive with USB 3.0 and Automatic Backup,Western Digital,6065,Brand: Western Digital | Model: WDBYVG0020BBK | Storage Capacity: 2TB | Interface: USB 3.2 Gen 1 | Compatibility: Multiple devices | Type: External Hard Drive | Features: | Sleek Design | Automatic Backup | Password Protection | 256-bit AES Hardware Encryption | Color: Black | SKU: WE342EA13EL5ZNAFAMZ
Computing,2TB Flash Memory Stick Storage Key USB 2.0,Flash,700,Capacity: 2TB USB 2.0 | Speed: 480Mbps | Material: TPE and Zinc Alloy | Color: Silver | Durable 24K gold-plated contacts
